iter	Passed	Remaining
819	23679	5197
820	23708	5168
821	23735	5139
822	23765	5111
823	23800	5083
824	23829	5054
825	23858	5025
826	23885	4996
827	23915	4968
828	23947	4939
829	23979	4911
830	24007	4882
831	24032	4852
832	24054	4822
833	24083	4793
834	24107	4763
835	24136	4734
836	24162	4705
837	24187	4675
838	24211	4646
839	24236	4616
840	24262	4587
841	24289	4557
842	24322	4529
843	24351	4500
844	24377	4471
845	24407	4443
846	24438	4414
847	24466	4385
848	24491	4355
849	24520	4327
850	24547	4297
851	24575	4268
852	24599	4239
853	24625	4209
854	24652	4180
855	24678	4151
856	24702	4121
857	24726	4092
858	24751	4062
859	24776	4033
860	24801	4004
861	24827	3974
862	24852	3945
863	24875	3915
864	24899	3886
865	24925	3856
866	24952	3827
867	24986	3799
868	25085	3781
869	25112	3752
870	25143	3723
871	25171	3694
872	25194	3665
873	25217	3635
874	25244	3606
875	25273	3577
876	25301	3548
877	25328	3519
878	25353	3490
879	25378	3460
880	25402	3431
881	25426	3401
882	25450	3372
883	25477	3343
884	25501	3313
885	25529	3284
886	25560	3256
887	25592	3227
888	25623	3199
889	25650	3170
890	25675	3140
891	25701	3111
892	25734	3083
893	25763	3054
894	25789	3025
895	25814	2996
896	25842	2967
897	25866	2938
898	25891	2908
899	25915	2879
900	25940	2850
901	25975	2822
902	26005	2793
903	26031	2764
904	26056	2735
905	26082	2706
906	26106	2676
907	26138	2648
908	26166	2619
909	26193	2590
910	26221	2561
911	26248	2532
912	26273	2503
913	26304	2475
914	26332	2446
915	26356	2417
916	26380	2387
917	26406	2358
918	26434	2329
919	26464	2301
920	26489	2272
921	26515	2243
922	26539	2214
923	26579	2186
924	26611	2157
925	26641	2128
926	26670	2100
927	26699	2071
928	26724	2042
929	26753	2013
930	26784	1985
931	26819	1956
932	26847	1927
933	26876	1899
934	26906	1870
935	26936	1841
936	26968	1813
937	27001	1784
938	27028	1755
939	27053	1726
940	27081	1697
941	27110	1669
942	27137	1640
943	27164	1611
944	27192	1582
945	27216	1553
946	27254	1525
947	27304	1497
948	27342	1469
949	27395	1441
950	27435	1413
951	27467	1384
952	27495	1356
953	27522	1327
954	27550	1298
955	27585	1269
956	27614	1240
957	27640	1211
958	27666	1182
959	27691	1153
960	27715	1124
961	27741	1095
962	27769	1066
963	27801	1038
964	27830	1009
965	27855	980
966	27880	951
967	27916	922
968	27957	894
969	27998	865
970	28042	837
971	28076	808
972	28108	779
973	28137	751
974	28166	722
975	28198	693
976	28228	664
977	28256	635
978	28282	606
979	28310	577
980	28337	548
981	28360	519
982	28385	490
983	28410	461
984	28436	433
985	28460	404
986	28486	375
987	28510	346
988	28534	317
989	28561	288
990	28588	259
991	28611	230
992	28640	201
993	28667	173
994	28693	144
995	28723	115
996	28754	86
997	28784	57
998	28814	28
999	28841	0
