iter	Passed	Remaining
927	134733	10453
928	134996	10317
929	135170	10174
930	135341	10030
931	135516	9887
932	135709	9745
933	135935	9605
934	136121	9462
935	136313	9320
936	136494	9177
937	136656	9032
938	136816	8887
939	136956	8741
940	137101	8596
941	137240	8450
942	137398	8305
943	137504	8157
944	137633	8010
945	137776	7864
946	137924	7719
947	138060	7572
948	138256	7430
949	138434	7286
950	138573	7139
951	138713	6993
952	138849	6847
953	139008	6702
954	139161	6557
955	139364	6414
956	139510	6268
957	139684	6123
958	139852	5979
959	139971	5832
960	140101	5685
961	140279	5541
962	140424	5395
963	140565	5249
964	140712	5103
965	140873	4958
966	141041	4813
967	141203	4667
968	141353	4522
969	141485	4375
970	141644	4230
971	141770	4083
972	141895	3937
973	142029	3791
974	142164	3645
975	142322	3499
976	142466	3353
977	142626	3208
978	142796	3063
979	142974	2917
980	143192	2773
981	143330	2627
982	143467	2481
983	143592	2334
984	143706	2188
985	143869	2042
986	144035	1897
987	144174	1751
988	144335	1605
989	144587	1460
990	144802	1315
991	145030	1169
992	145179	1023
993	145327	877
994	145489	731
995	145648	584
996	145788	438
997	145944	292
998	146060	146
999	146185	0
